algorithm,K,M,T,delta,n,trial,seed,cumulative_regret,total_reward,total_steps,init_duration,find_good_duration,rank_duration,number_players_duration,exploration_duration,collision_count,final_assignment_success,player_count_success,rank_assignment_success,assignment_duplicate,attempt,attempts_used,retry_exhausted
huang2022,20,8,1000000,7.238241365054197e-08,1,0,20260510,1143054.7600019346,271508.0,604514,107920,28800,26320,52800,496594,446526,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,1,0,20260510,1143054.7600019346,271508.0,604514,107920,28800,26320,52800,496594,446526,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,2,0,20260510,2091921.0000376748,248079.0,1000000,321084,162864,52620,105600,678916,915215,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,3,0,20260510,2100746.0000377097,239254.0,1000000,286688,177688,35080,73920,713312,912621,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,4,0,20260510,1944839.0000385377,395161.0,1000000,262574,183464,26310,52800,737426,836553,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,5,0,20260510,2180698.0000264468,159302.0,1000000,470388,343976,42092,84320,529612,971743,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,6,0,20260510,2189396.0000258195,150604.0,1000000,462561,353704,35077,73780,537439,973118,0,1,1,0,0,1,0
huang2022,20,8,1000000,7.238241365054197e-08,1,1,20260511,1141658.6400017752,271458.0,603896,107920,28800,26320,52800,495976,446742,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,1,1,20260511,1141658.6400017752,271458.0,603896,107920,28800,26320,52800,495976,446742,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,2,1,20260511,1258501.520010001,390445.0,704678,154422,75312,26310,52800,550256,534156,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,3,1,20260511,2046348.00003801,293652.0,1000000,286688,177688,35080,73920,713312,887197,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,4,1,20260511,1953807.000038509,386193.0,1000000,262574,183464,26310,52800,737426,840422,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,5,1,20260511,2179721.000026491,160279.0,1000000,470388,343976,42092,84320,529612,971209,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,6,1,20260511,2189784.000025796,150216.0,1000000,462561,353704,35077,73780,537439,972542,0,1,1,0,0,1,0
huang2022,20,8,1000000,7.238241365054197e-08,1,2,20260512,1159177.640000245,287869.0,618396,107920,28800,26320,52800,510476,448409,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,1,2,20260512,1159177.640000245,287869.0,618396,107920,28800,26320,52800,510476,448409,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,2,2,20260512,1215417.2400064848,390726.0,686386,154422,75312,26310,52800,531964,516277,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,3,2,20260512,2096378.000038294,243622.0,1000000,278784,169784,35080,73920,721216,910226,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,4,2,20260512,1992086.0000387204,347914.0,1000000,254366,175256,26310,52800,745634,855048,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,5,2,20260512,2189890.0000257725,150110.0,1000000,457316,330904,42092,84320,542684,973578,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,6,2,20260512,2197694.0000251886,142306.0,1000000,449489,340632,35077,73780,550511,975008,0,1,1,0,0,1,0
huang2022,20,8,1000000,7.238241365054197e-08,1,3,20260513,1128032.4799990377,283039.0,603022,107920,28800,26320,52800,495102,437430,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,1,3,20260513,1128032.4799990377,283039.0,603022,107920,28800,26320,52800,495102,437430,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,2,3,20260513,2103871.0000327174,236129.0,1000000,321084,162864,52620,105600,678916,920483,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,3,3,20260513,2038239.0000383346,301761.0,1000000,278784,169784,35080,73920,721216,881376,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,4,3,20260513,1977194.0000387116,362806.0,1000000,254366,175256,26310,52800,745634,849251,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,5,3,20260513,2189742.000025779,150258.0,1000000,457316,330904,42092,84320,542684,973334,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,6,3,20260513,2199445.0000250973,140555.0,1000000,449489,340632,35077,73780,550511,974786,0,1,1,0,0,1,0
huang2022,20,8,1000000,7.238241365054197e-08,1,4,20260514,1111492.7599971204,299092.0,602814,107920,28800,26320,52800,494894,426325,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,1,4,20260514,1111492.7599971204,299092.0,602814,107920,28800,26320,52800,494894,426325,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,2,4,20260514,1188802.04000979,510286.0,726106,154422,75312,26310,52800,571684,504745,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,3,4,20260514,2045677.0000379959,294323.0,1000000,286688,177688,35080,73920,713312,887094,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,4,4,20260514,1969454.000038509,370546.0,1000000,262574,183464,26310,52800,737426,846920,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,5,4,20260514,2182244.000026358,157756.0,1000000,470388,343976,42092,84320,529612,971299,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,6,4,20260514,2189687.0000258214,150313.0,1000000,462561,353704,35077,73780,537439,972805,0,1,1,0,0,1,0
huang2022,20,8,1000000,7.238241365054197e-08,1,5,20260515,1122886.9199988057,277692.0,598538,107920,28800,26320,52800,490618,437198,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,1,5,20260515,1122886.9199988057,277692.0,598538,107920,28800,26320,52800,490618,437198,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,2,5,20260515,1253807.5200099049,380631.0,698478,154422,75312,26310,52800,544056,532248,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,3,5,20260515,2045941.0000380198,294059.0,1000000,286688,177688,35080,73920,713312,886937,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,4,5,20260515,1968506.0000384927,371494.0,1000000,262574,183464,26310,52800,737426,846746,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,5,5,20260515,2179675.000026493,160325.0,1000000,470388,343976,42092,84320,529612,971070,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,6,5,20260515,2189231.0000258232,150769.0,1000000,462561,353704,35077,73780,537439,972462,0,1,1,0,0,1,0
huang2022,20,8,1000000,7.238241365054197e-08,1,6,20260516,1128303.4799990857,282768.0,603022,107920,28800,26320,52800,495102,437343,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,1,6,20260516,1128303.4799990857,282768.0,603022,107920,28800,26320,52800,495102,437343,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,2,6,20260516,1179636.8800051867,389525.0,670582,154422,75312,26310,52800,516160,501247,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,3,6,20260516,2087057.0000382673,252943.0,1000000,278784,169784,35080,73920,721216,906011,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,4,6,20260516,1990820.000038741,349180.0,1000000,254366,175256,26310,52800,745634,856130,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,5,6,20260516,2187320.000025879,152680.0,1000000,457316,330904,42092,84320,542684,973549,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,6,6,20260516,2200069.0000250484,139931.0,1000000,449489,340632,35077,73780,550511,974997,0,1,1,0,0,1,0
huang2022,20,8,1000000,7.238241365054197e-08,1,7,20260517,1142419.2800000175,299821.0,616342,107920,28800,26320,52800,508422,437589,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,1,7,20260517,1142419.2800000175,299821.0,616342,107920,28800,26320,52800,508422,437589,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,2,7,20260517,1179346.8800051804,389815.0,670582,154422,75312,26310,52800,516160,501341,1,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,3,7,20260517,2041112.0000383337,298888.0,1000000,278784,169784,35080,73920,721216,883373,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,4,7,20260517,1977393.000038718,362607.0,1000000,254366,175256,26310,52800,745634,848307,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,5,7,20260517,2190786.000025717,149214.0,1000000,457316,330904,42092,84320,542684,973375,0,1,1,0,0,1,0
izumi2026,20,8,1000000,7.238241365054197e-08,6,7,20260517,2199073.0000251047,140927.0,1000000,449489,340632,35077,73780,550511,974802,0,1,1,0,0,1,0
huang2022,20,8,1000000,7.238241365054197e-08,1,8,20260518,1111792.7599971446,298792.0,602814,107920,28800,26320,52800,494894,426226,1,1,1,0,0,1,0
